"id";"nama";"created_at";"updated_at"
"1";"ACEH";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2";"SUMATERA UTARA";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"3";"SUMATERA BARAT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"4";"RIAU";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"5";"JAMBI";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"6";"SUMATERA SELATAN";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"7";"BENGKULU";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"8";"LAMPUNG";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"9";"KEPULAUAN BANGKA BELITUNG";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"10";"KEPULAUAN RIAU";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"11";"DKI JAKARTA";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"12";"JAWA BARAT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"13";"JAWA TENGAH";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"14";"DI YOGYAKARTA";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"15";"JAWA TIMUR";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"16";"BANTEN";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"17";"BALI";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"18";"NUSA TENGGARA BARAT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"19";"NUSA TENGGARA TIMUR";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"20";"KALIMANTAN BARAT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"21";"KALIMANTAN TENGAH";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"22";"KALIMANTAN SELATAN";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"23";"KALIMANTAN TIMUR";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"24";"KALIMANTAN UTARA";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"25";"SULAWESI UTARA";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"26";"SULAWESI TENGAH";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"27";"SULAWESI SELATAN";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"28";"SULAWESI TENGGARA";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"29";"GORONTALO";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"30";"SULAWESI BARAT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"31";"MALUKU";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"32";"MALUKU UTARA";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"33";"PAPUA";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"34";"PAPUA BARAT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
